prf_npi,name
"1003955311","KENNETH RAVEN"
"1003955634","RHONDA SABO"
"1003955691","LORENA MICHEL"
"1003956749","STEVEN STERNLOF"
"1003958232","JERALD CATRON"
"1003959461","GISA INDENBAUM"
"1003962390","SANDRA SESSA"
"1003963125","MARGARET MATSUNAMI"
"1003965583","RITA TEUSCH"
"1003965930","SUNITHA CHANDY"
"1003966409","WILLY HENIK"
"1003967993","GORDON SAUER"
"1003970054","SEAN SEIBERT"
"1003970179","SUSAN MOSS"
"1003970591","KELLY PREDIERI"
"1003970609","BELVIA MATTHEWS"
"1003970625","CHARLES FRIES"
"1003971722","SUELLYN VANDERSLICE"
"1003973322","KAREN GREENE"
"1003973512","KATHERINE HAMILTON"
"1003974361","TIMMIE POLLOCK"
"1003976978","CYNTHIA SCHMIDT"
"1003976986","CHRISTOPHER ZIEGLER"
"1003979741","RICHARD FINKELSTEIN"
"1003981051","EMILY GORDON"
"1003981986","MICHAEL CHARASH"
"1003982042","LAURENCE CHRISTENSEN"
"1003983115","LINDA MONROE"
"1003984725","MARCIA HUBERMAN"
"1003984832","EMILLY FUTCH"
"1003984907","DIANE KARLE"
"1003985243","MARY MELTON"
"1003987983","MURRAY MCALLISTER"
"1003988072","SANDY BERNSTEIN"
"1003988429","FRANK SERGI"
"1003988528","MARY THEISEN GOODVICH"
"1003989591","DEBORAH MATTHEWS"
"1003990607","AIMEE MCCULLOUGH"
"1003991274","JAMES PRETZER"
"1003991738","MILFRED DALE"
"1003991936","ROBERT PATTERSON"
"1003992181","JONINA BOLTON"
"1003992843","SUSAN BILY LINDNER"
"1003993239","ANNETTE STRACK"
"1003997073","JAMES MANGANIELLO"
"1003999848","MARSHA LITTLE HENDREN"
"1013000140","SARA SCHARA MCANTTY"
"1013000215","KATHLEEN WORSLEY"
"1013000561","DENNIS JACKSON"
"1013001114","JAN WITTE-BAKKEN"
"1013001205","HILARY BENDER"
"1013001296","EUGENE POGANY"
"1013008374","CAROLYN LUCAS"
"1013011634","DANIEL WILLIGER"
"1013012111","PATRICIA ROBIN"
"1013014992","KAMI BRYANT"
"1013015296","LEON MONNIN"
"1013015833","STEPHANIE DARSA"
"1013015908","WILLIAM KELLY"
"1013016161","ANN MOTT"
"1013017300","PAUL GIELLA"
"1013018381","ROBERT FIORE"
"1013018589","SAMANTHA KOHN"
"1013019611","SARA STERLING"
"1013021187","BETH BOHNET"
"1013021393","HOWARD OAKES"
"1013022581","HEIDI NAHUM"
"1013022706","FLORA HOGMAN"
"1013024611","ROGER STORRS"
"1013024744","DAVID DEBUS"
"1013028265","PAUL DEPOMPO"
"1013028604","CAMILLE DIBENEDETTO"
"1013028653","GARY KELLEY"
"1013028869","JOHN MESSERSCHMITT"
"1013030980","LARRY WEXLER"
"1013036854","MINDY MUELLER"
"1013036912","RONALD PAULMAN"
"1013037860","SANDRA HARTDAGEN"
"1013038736","DAVID WEISMAN"
"1013040567","JULIE BARNES"
"1013040617","MONIQUE FRAZIER"
"1013044734","ABRAHAM LOEBENSTEIN"
"1013046143","MIRIAM ERB"
"1013046598","SUZANNE TAYLOR"
"1013046945","RICK HARRIS"
"1013047018","JUDITH HOLMES"
"1013047091","DANIEL SHIODE"
"1013049071","NEAL LEYNOR"
"1013049105","GENINE HANIN"
"1013049154","DONALD BRADY"
"1013050327","LAURA SCOTT"
"1013052448","ELIZABETH HOFFMAN"
"1013053719","AMY MILLER"
"1013054683","ROBERT PASAHOW"
"1013055359","PURNIMA KUMAR"
"1013055623","MICHAEL OCONNELL"
"1013057231","SERINA HOOVER"
"1013059344","LINDA CATERINO"
"1013059831","BRET BOYER"
"1013060482","CLAIRE RUSUNEN"
"1013060631","JACQUELINE WOODS"
"1013060946","PATRICK RANDOLPH"
"1013061761","CATHERINE MCCONNELL"
"1013062322","ANNETTE MASSEY"
"1013063395","STEPHEN HYMAN"
"1013066331","WILLIAM DITULLIO"
"1013068444","LINDA RICE"
"1013068584","ERIC DIAMOND"
"1013069061","BLAKE WAGNER"
"1013069145","AVIVA GITLIN"
"1013069228","ALLISON ALLEN"
"1013071760","ROBERT ADAMS"
"1013072586","MICHELLE DYKSTRA"
"1013072719","BEVERLY HMEL"
"1013073121","SHEILA EATON"
"1013074319","JOHN GUETTER"
"1013075266","MARK SPRINGSTON"
"1013076561","CHRISTOPHER BERSANI"
"1013077361","MARY CLARK"
"1013077593","FRANK DALGIN"
"1013078336","KAREN NIELSON SALOIS"
"1013079904","AMY WOOD"
"1013080290","MANNY BURGESS"
"1013080563","ANGELA RADAN"
"1013083021","JESSICA HAMMANN"
"1013084672","JAMES CONTI"
"1013084706","RITCHI MORRIS"
"1013084805","JUDITH WILLETTS"
"1013086255","ELIZABETH CONDER"
"1013088681","CARMEN CAPELLA"
"1013089044","KEVIN MILLER"
"1013092964","EILEEN MARONDE"
"1013093996","MARK BIGGER"
"1013095744","ANDREW LEEDS"
"1013097369","LOIS FRIEDMAN"
"1013097468","ALAN ALBERT"
"1013097989","RENA ZWEBEN"
"1013100684","ESPEN KLAUSEN"
"1013101062","MELISSA CARSWELL"
"1013107135","MICHAEL CHANGARIS"
"1013107721","LAURA HICKOK"
"1013108075","DIANE STELLRECHT"
"1013108083","ERICA HILL"
"1013110113","JANET WOLLERSHEIM"
"1013115724","CHRISANA OLSON"
"1013115963","EMILY LANTZ"
"1013116342","MICHELLE PEMBLE"
"1013124742","AMY SULLIVAN"
"1013129519","PHILIP MELNEKOFF"
"1013130517","JANE TIPPET"
"1013130806","RICHARD GIOVANNOLI"
"1013130871","BRADLEY ESTES"
"1013132398","STEPHEN FELDMAN"
"1013136001","MARY ELLEN LAWLOR"
"1013137389","ARNOLD BRUHN"
"1013137447","PAUL DAVIDSON"
"1013138676","CAROL SCHWARTZ"
"1013152131","ERIC PADOL"
"1013156819","LILLIANA VILLANUEVA GARCIA"
"1013157650","LORETTA SEVERSON"
"1013160100","CHRISTINE DURRETT"
"1013161272","YOLANDA LEON"
"1013165075","JASON HERR"
"1013173863","CAMILLE WARNBERG"
"1013177708","RANDEE SHENKEL"
"1013179233","KATHLEEN HODGKISS"
"1013180413","KIMBERLY SWANSON"
"1013182302","ARTHUR TARBOX"
"1013182484","BRIAN GALLAGHER"
"1013183433","DOUGLAS KRUG"
"1013189216","DIANA GREYWOLF"
"1013190008","VIMARI VEGA RIOS"
"1013209352","KERI BROWN"
"1013221712","JASON GLASS"
"1013226943","SHIRLEY WATKINS"
"1013232081","VITTORIO PUENTE"
"1013240738","YELENA CHERNYAK"
"1013242536","ABBY STANISLAW"
"1013246594","LESLEY JOHNSTON"
"1013248749","LAURA HUFF"
"1013248830","KIARA MARIENAU"
"1013256494","PATRICIA MORAN"
"1013264225","AMY DRAYTON"
"1013264449","JENNIFER TINKER"
"1013269265","ALLISON BATES"
"1013277755","DENISE SNIFFIN"
"1013281674","NIKOL STANCATO"
"1013295526","ADEYA RICHMOND"
"1013296045","PATRICIA GROFF"
"1013296789","GENNEA DANKS"
"1013296847","CHYRIL WALKER"
"1013357656","SARAH JENKINS"
"1013900901","MEGAN HUDSON"
"1013901727","PUSHPA CHAUHAN"
"1013902063","PHILIP MORSE"
"1013904309","PETER MOSBACH"
"1013904796","LISA METLER"
"1013904978","SALLY GOFORTH"
"1013907658","CAROL TAYLOR"
"1013907948","TANIS FERMAN"
"1013911627","JUDITH CORKUM"
"1013912443","VANCE BECKER"
"1013912484","BONNIE WALBRAN"
"1013916246","JOHN THOMPSON"
"1013918291","NAOMI TAKEMOTO-CHOCK"
"1013918796","JOHN ROBERTSON"
"1013920065","NAN AGUIRRE"
"1013920388","CARROLL MEEK"
"1013920438","JAMES HOEKSEMA"
"1013920842","PEDER PIERING"
"1013923655","BRUCE ETRINGER"
"1013923796","PAMELA MEEDS"
"1013924281","IRA WISOTZEK"
"1013925148","AMY DETWEILER"
"1013926120","RADKA TOSCOVA"
"1013926641","DENISE VINOGRADE"
"1013927391","BONNIE ARONOWITZ"
"1013927870","JOSEPH SAGINOR"
"1013927920","GARY KREISBERG"
"1013928829","EDWARD SMITH"
"1013929108","DAVID SMITH"
"1013929512","MARIA PARENT"
"1013931393","MARGARET EATON"
"1013931583","JENNIFER WHITE"
"1013931948","BARRY BINDER"
"1013932235","ALAN NUDELMAN"
"1013932276","ELIZABETH JACKSON"
"1013932656","RICHARD COHEN"
"1013935170","WILLIAM SMITH"
"1013937291","AUBREY WASHINGTON"
"1013937382","JUDY RONAN WOODBURN"
"1013938604","PAMELA LINNELL"
"1013938695","GRAYSON PHILLIPS"
"1013939032","GEORGE CARNEVALE"
"1013941244","STANLEY TAKAGISHI"
"1013943695","LARRY BILKER"
"1013944057","LYNN PRICE"
"1013944784","MARCIA MCCABE"
"1013947274","MARK BROGAN"
"1013947613","JOSEPH ROCK"
"1013948272","JOELLE EFTHIMIOU"
"1013949197","DAVID EGERTON"
"1013954403","NANCY VANDERVEER"
"1013958347","STEVEN ADAMS"
"1013961051","JAMES DONOVAN"
"1013962315","BERNARD BANDMAN"
"1013963347","JENNIE CRIM"
"1013964568","DONNA PHILLIPS"
"1013966746","GARY MATTHEWS"
"1013967173","BRADLEY KUHLMAN"
"1013967983","JENNIFER WOEHR"
"1013968452","RICHARD DELANEY"
"1013971217","MINNA BAKER"
"1013971704","ALEXANDER CHERVINSKY"
"1013973122","KAY BIENEMANN"
"1013974765","JOHN DAY"
"1013975473","DAVID MILLER"
"1013975655","JAY SCHLESINGER"
"1013975853","DEBORAH DENISE THORNHILL"
"1013976026","MARILOU SHAUGHNESSY"
"1013977032","EDWARD BATISTA"
"1013980788","RONALD BERGMAN"
"1013981422","LISA ALEX"
"1013984335","DAVID MARGOLIS"
"1013985639","JAMES LEROY"
"1013989458","MARY ANN ABBOTT"
"1013989565","JAMES LEFFERT"
"1013990266","MATTHEW SIMON"
"1013990688","DEBORAH RINZLER"
"1013991330","THOMAS MORAN"
"1013991900","ERIC SWEITZER"
"1013992676","KRISTIN KUNZMAN"
"1013992809","ANTHONY TRANIELLO"
"1013996040","MARY JANE NOVI"
"1013996628","NANCY HUXLEY"
"1013996966","AMBER SCHAFFNER"
"1013998657","JAMES LINN"
"1023001054","JERRY SOUCY"
"1023001716","ROBERT STEPHENSON"
"1023002136","MANUEL TOBIAS"
"1023003340","LISA LARGO MARSH"
"1023003704","WAYNE BOWERS"
"1023004686","EDDIE LAURITSEN"
"1023005584","RUTH GREENBERG"
"1023007051","CHERYL TUCKER"
"1023007853","DAVID KENIS"
"1023008950","JOHN LUCAS"
"1023010972","BRIAN CARPENTER"
"1023016433","MARTIN KLUGER"
"1023018694","PATRICIA MCGINTY"
"1023021243","ROBERTA STAHNKE"
"1023021987","AFTON BURT"
"1023025657","JUDITH NISSENBAUM"
"1023027000","PATRICIA ROSE"
"1023028081","AMY MILLER"
"1023028362","MYRON DRAZEN"
"1023029170","JOHN GODFREY"
"1023029261","DAMON TEMPEY"
"1023029337","ANTHONY GOLAS"
"1023029758","ELIZABETH COOK"
"1023030996","AMY AHO"
"1023031630","JUDITH HAMILTON"
"1023031663","ELIZABETH PAWLIKOSKI"
"1023032216","PATRICIA TISTAN"
"1023032745","IRMA SMET"
"1023032836","BONNIE HOLSTEIN"
"1023032869","KENNETH BEATTIE"
"1023033180","KENNETH SCHWARZ"
"1023033875","CATHY NEUHAUSER"
"1023034410","LESLEY DLUGOKINSKI"
"1023035102","KARA WETTERSTEN"
"1023035656","ROBERT FUCETOLA"
"1023036605","SUSAN HILL"
"1023037231","SUSAN ENZLE"
"1023037561","RANDI COOPER"
"1023038072","JOHN BYRON"
"1023038445","RICHARD BRUNO"
"1023039526","JENNIFER LUBOSKI"
"1023040359","KATHY LAWLER"
"1023041027","JILL KOVALL"
"1023042082","NOURIT KORZENNIK"
"1023042116","DIANE NOVY"
"1023043247","JAMES YOKLEY"
"1023043569","EDWARD COOK"
"1023043841","JAMES COOPER"
"1023043957","CHARLES LAMMERS"
"1023045457","NORA GRIFFIN CLARK"
"1023045614","THOMAS SCHNATTERBECK"
"1023046950","YVONNE GASCHKE"
"1023049988","CHRISTINE PAISLEY"
"1023050168","TERI SULLIVAN"
"1023052479","GERARD ERKER"
"1023053584","PETER MAGARO"
"1023058161","FERNELLE WARREN"
"1023059698","JANE SACHS"
"1023059789","MARC SILVERSTONE"
"1023059896","JUDITH ROWAN"
"1023061744","HAROLD ALTMAN"
"1023062528","RUSSELL BRETHAUER"
"1023064904","ROBYN HIGHTOWER"
"1023065653","WILLIAM MACALLISTER"
"1023068665","AMY WINDOVER"
"1023070315","MARCIA HOLLINGSWORTH"
"1023072303","FRED MCKINNEY"
"1023072436","JOHN LEENAY"
"1023074564","PATRICIA GAMBITTA"
"1023075967","CINDY MOREY"
"1023076114","SANDRA FOSTER"
"1023077062","DENISE BOELENS"
"1023078771","DANIEL SHYBUNKO"
"1023078995","KENNETH REEVES"
"1023081296","SARITA OVERTON"
"1023084191","ANNE CARTER"
"1023085057","DAVID KUPFER"
"1023085537","NANCY HAFFEY"
"1023089034","DANE HIGGINS"
"1023091782","MARK FARACO-HADLOCK"
"1023092012","FRANK BROWN"
"1023092558","JUDY TANT"
"1023092798","LOUISE GLOTZBACH"
"1023095353","RICHARD SOLOW"
"1023095627","BROWNELL MACK"
"1023097656","JANE CERHAN"
"1023100161","KIRK LITTLE"
"1023100617","DEBRA PIETRANGELO"
"1023101730","DANIEL COGSWELL"
"1023101821","SHANNON WRIGHT JOHNSON"
"1023102613","SUSAN COOK"
"1023102944","KREIG ROOF"
"1023103603","STEPHEN WESTMORELAND"
"1023104254","KRISTINE HERFKENS"
"1023105095","DAVID DIAMENT"
"1023106150","STEVEN WESTBY"
"1023107307","DANIEL ROSS"
"1023109055","DAVID KALLINGER"
"1023109469","LAWRENCE CLAYTON"
"1023110384","ROBERT GREEN"
"1023110863","WILHELMINA KOEDAM"
"1023110889","STACEY SEIBEL"
"1023111960","MARILYN BRADY"
"1023114048","SUSAN ARQUETTE"
"1023114063","ROBERT KLEIN"
"1023119823","JUDITH CRAIG"
"1023120177","JACQUELINE BUTLER"
"1023120979","ELINOR EDEN"
"1023121050","BARBARA ROTHBAUM"
"1023121894","NILSA RIVERA"
"1023122579","CECILY RESNICK"
"1023123767","WILLIS VAN DYNE"
"1023125028","JODI ARNOLD"
"1023126992","ALYSSA RHEINGOLD"
"1023130820","SHERRI NADER"
"1023130960","PATRICIO DHIMITRI"
"1023133006","ZECHARIA OREN"
"1023133022","MICHAEL LACE"
"1023139086","PATRICIA MORRIN"
"1023140571","PHILIP GOSSELIN"
"1023144532","MELVIN BERNSTEIN"
"1023144573","KEITH PETERSON"
"1023145349","CAROLYN REEDER"
"1023147352","NANCY BURKE"
"1023147550","TIMOTHY MCFADDEN"
"1023147709","SWATI VARSHNEY"
"1023147758","JEFFREY JAMPEL"
"1023154911","GENEVIEVE REILLEY"
"1023157708","MARTIN MILLER"
"1023158227","JOSEPH PRUETT"
"1023160777","CHRISTOPHER FICHERA"
"1023160801","CATHY WEST"
"1023162468","CORNELIA GREEN"
"1023162682","MARK SNOW"
"1023163318","MARGARET GUYER"
"1023164001","JOAN INGRAM"
"1023166170","MYRNA FRANK"
"1023168242","WILLIAM BLAU"
"1023168564","CRAIG LENNON"
"1023169851","HELEN SILVERMAN"
"1023173234","VINCENT FISH"
"1023175817","STUART HORANCE"
"1023176369","JAMES MULLIN"
"1023176526","JOHN SAKSA"
"1023179223","LAWRENCE HELLER"
"1023179553","CHRISTOPHER CELIO"
"1023180312","DAVID RENJILIAN"
"1023180486","LEONARD GREENBERG"
"1023181575","SCOTT REINHARDT"
"1023181633","WILLIAM OBRIEN"
"1023182359","SANDRA ISAACS MOELLER"
"1023183217","PETER JAY"
"1023183670","STEPHEN CHOY"
"1023183738","CARLENE IANUZZI"
"1023184264","SHIRLEY WILLIS"
"1023184694","GORDON SCHULZ"
"1023186400","DIANA WEINSTOCK"
"1023187341","ROBIN ROSENTHAL"
"1023191202","MOLLY BURNS"
"1023191491","LAURENCE SMITH"
"1023191749","JOHN ROSARIO PEREZ"
"1023191947","ZOE WILLIAMS"
"1023194123","NANCY BAKER"
"1023194156","TERRY SMITH"
"1023194453","ROBERT HEATH"
"1023195443","COLETTE KUHN"
"1023197225","DEBORAH BARNETT"
"1023197522","CAROL FOLLINGSTAD"
"1023198140","NANCY CERIO"
"1023198546","DENISE VERONES"
"1023199320","MARILYN STUCKEY STEIN"
"1023199643","JAMES WISE"
"1023200326","KATHRYN LESKIS"
"1023202132","FERNANDA MARTINEZ"
"1023203650","JEFFREY SCHROEDER"
"1023213006","JASON WISE"
"1023213501","WENDI BORN"
"1023217767","HAYDEH FAKHRABADI"
"1023218195","CLIFFORD WALDMAN"
"1023220571","DENNIS DEBIAK"
"1023220589","DIANE SANFORD"
"1023223419","PATRICIA MAREK"
"1023223864","RICHARD MOUZON"
"1023225141","JEFFREY HUTTINGER"
"1023227543","LINDA EDGE"
"1023234275","MEGAN MARLOW OCONNOR"
"1023234572","DALE PETERSON"
"1023236114","JANAN BROADBENT"
"1023237310","DANIEL WASSERMAN"
"1023239696","BARBARA VIVINO"
"1023245735","GRISELLE CORDERO MENDEZ"
"1023248390","JOHN RUSHBROOK"
"1023251501","ROBERTA LICHTER"
"1023256534","VIDA NIKZAD"
"1023259405","KRISTA TREFZ"
"1023261831","JACOB BENTLEY"
"1023264751","APRIL ADKINS"
"1023269941","AMY HOFFMAN"
"1023272341","SARAH HOWELL"
"1023277902","FRANCIS WINSTANLEY"
"1023280054","TONI CAFARO"
"1023281557","STEPHEN TIMCHACK"
"1023294493","NANCY HSU"
"1023295466","SAMIA HUSNI"
"1023296324","CAROL ARPACI"
"1023300324","CATHERINE LINDSTROM"
"1023312006","SARAH MALLARD"
"1023314614","JONATHAN FERNANDEZ"
"1023317518","VIRGINIA RUNKO"
"1023318540","HELEN CHEN"
"1023327459","KRISTIN GIRARDOT"
"1023328176","CHRISTINE AIKEN"
"1023338274","BRUCE BECK"
"1023340023","ROBERT GALLAGHER"
"1023341526","MARIA SCALLEY"
"1023345386","SAMANTHA BEHBAHANI"
"1023358645","KORY HOLZER"
"1023365673","SARAH DEMM"
"1023367075","JEANNINE TAMEZ"
"1023377991","JOHN DICKE"
"1023378023","JENNIFER NITSCHKE"
"1023385366","PHILLIP TATE"
"1023392537","FRANCIS MORIARTY"
"1033100573","STEVEN KRUGMAN"
"1033102728","NANCY STOTT"
"1033102892","SUSAN WOLF"
"1033103650","HENDRIKA VANDE KEMP"
"1033104146","STANLEY GOLDKLANG"
"1033104781","SCOTT TEMPLE"
"1033110473","KAREN ALLMACHER"
"1033117650","JOSEPH SWITRAS"
"1033119243","CARL FREY"
"1033120720","P COBURN"
"1033121850","PATRICIA CHILD"
"1033123385","LAUREN BEAUCHAMP"
"1033125521","SUSAN BARNGROVER"
"1033126479","MICHAEL ROBERTS"
"1033126594","LEE MONDAY"
"1033126966","ELIZABETH RICHESON"
"1033127972","PAMELA BOAZ"
"1033128343","ANGELA HALL"
"1033128749","JOHN CHAN"
"1033129663","CHERYL SAAFIR"
"1033129747","PAUL CHAFETZ"
"1033129804","GERALD TODOROFF"
"1033130448","MICHAEL PLUMERI"
"1033131339","ALLYSON GALLOWAY"
"1033132782","ROBERT ARIAS"
"1033132790","CHERI MILLER"
"1033133640","JANET SCHANK"
"1033133715","ORLY SAGHIAN"
"1033133798","ELISSA KOPLIK"
"1033134259","MICHAEL CAWLEY"
"1033134994","WILLIAM VARLEY"
"1033135397","ANDREA KLEIN"
"1033135801","FRANK GIBSON"
"1033137401","JOHN GILLICK"
"1033138193","PAUL WEINHOLD"
"1033139563","STANLEY DUCHARME"
"1033140306","WILLIAM ELDER"
"1033140470","THOMAS KELLY"
"1033141809","KENNETH SALZMAN"
"1033142518","TODD EIDEN"
"1033146592","ANDREW BLEW"
"1033146907","JODI NADLER"
"1033149141","WILLIAM CANTERBURY-COUNTS"
"1033149562","CATHERINE BERGMANN"
"1033149984","DAVID WERNER"
"1033150198","KRISTA ANDERSON"
"1033150594","MARC VAN ENK"
"1033150925","CATHERINE SHEEN"
"1033152483","ROBERT GEERTSMA"
"1033153242","JOHN SHELTON"
"1033155718","MARIA GRAF"
"1033157680","STACEY SALANT"
"1033158324","JEFFREY HILLENBERG"
"1033158514","JEAN GUST"
"1033158753","JOAN COOPER"
"1033159553","NANNETTE STUMP"
"1033164439","TAMAR HAMMER"
"1033165576","LYNN GOYA"
"1033167853","JO GILBERT"
"1033171145","COLLEEN DANIEWICZ"
"1033172549","CINDY GILMORE"
"1033172721","LAUREL VAN HAM"
"1033174602","MICHAEL STONE"
"1033179007","CHRISTINE MOYER"
"1033180435","JOANNA POLEFRONE"
"1033182001","JONATHAN FARRELL HIGGIN"
"1033184684","DARROW CHAN"
"1033185475","MARTHA WOMACK"
"1033186382","TED HARRIS"
"1033187224","JEANNE MURRONE"
"1033187836","BARBARA HAYNES"
"1033189485","HEIDI NEVILLE"
"1033190152","CHRISTINE GRAY"
"1033191788","DAVID OSBORNE"
"1033192208","MICHAEL GREEVY"
"1033192794","NANCY RIETDORF"
"1033194840","BARBARA PARRY"
"1033198841","MARION MCCOLLUM"
"1033202973","TERRY TOBIAS"
"1033204375","SCOTT MOONEY"
"1033204565","DAVID MCFARLANE"
"1033204763","DEAN MONTGOMERY"
"1033204771","CHARLES GERLACH"
"1033205125","RICHARD LILLARD"
